Natural Language,Formula,Ground Truth
It is not the case that France won the 2006 world cup,!p,France won the 2006 world cup: p
It is not the case that John is tall,!p,John is tall: p
John is not running,!p,John is running: p
Mary does not own a house,!p,mary owns a house: p
It is not true that Mary is short,!p or !!p,mary is short: p
It is not true that Italy is a better soccer team than Germany,!p,italy is a better soccer team than Germany: p
Mary went to school and John went to school,p & q ,"mary went to school: p; ""john went to school"": q"
Mary went to school and John stayed home,p  & q ,"mary went to school: p; ""john stayed home"": q"
"John is tall, Mary is tall, and Bill is tall",(p & q) & r,"john is tall: p; ""mary is tall"": q; ""bill is tall"": R"
Both John and Mary passed the test,p & q ,"john passed the test: p; ""mary passed the test"": q"
John and Mary both failed the test,p & q,"john failed the test: p; ""mary failed the test"": q"
"Taxes are going up, but housing prices are falling",p & q,"taxes are going up: p; ""housing prices are falling"": q"
"Taxes are going up, and housing prices are falling",p & q,"taxes are going up: p; ""housing prices are falling"": q"
"The crowd threw food at the stage, and Axel Rose's voice went out",p -> q,"crowd threw food at the stage: p; ""Axel Rose's voice went out"": q"
Jane and Bill danced the night away,p,Jane and Bill danced the night away: p
Jane and Bill danced the night away together,p,Jane and Bill danced the night away together: p
"June, July, and August make up the summer recess",p,"June, July, and August make up the summer recess: p"
Bill and Tom pushed the car,p,Bill and Tom pushed the car: p
"France, England, and America conqueRed Japan and Germany during WWII",p,"France, England, and America conqueRed Japan and Germany during WWII: p"
New York City is bigger than Boston and Philadelphia,p or p & q,New York City is bigger than Boston: P; New York City is bigger than Philadelphia: Q
New York City is bigger than Boston and Philadelphia put together,p,New York City is bigger than Boston and Philadelphia put together: p
New York City is bigger than both Boston and Philadelphia,p & q,"NYC is bigger than Boston: p; ""NYC is bigger than Philadelphia"": q"
Bill is shorter than Mary and Jane,p & q,"Bill is shorter than Mary: p; ""Bill is shorter than Jane"": q"
Bill is shorter than both Mary and Jane,p & q,"Bill is shorter than Mary: p; ""Bill is shorter than Jane"": q"
Either Bill will run for the election or John will run for the election,p | q ,"bill will run for the election: p; ""john will run for the election"": q"
Juventus players will go to other nations or Juventus players will stay in Italy,p | q ,"players will go to other nations: p; ""players will stay in Italy"": p"
Either Lillian Thuram will play for Chelsea or FC Barcelona,p | q ,"Lillian Thuram will play for chelsea: p; ""Lillian Thuram will play for FC Barcelona"": q"
Either France will win the world cup or Italy will win the world cup,p ⊕ q,"France will win the world cup: p; ""Italy will win the world cup"": q"
Either France will go to the World Cup or Italy will go to the world Cup,p | q ,"France will go to the world cup: p; ""Italy will go to the world cup"": q"
Dinner comes with either soup or salad,p ⊕ q,"dinner comes with soup: p; ""dinner comes with salad"": q"
John will go to school unless the bus breaks down,p | q ,"john will go to the school: p; ""the bus breaks down"": q"
"Unless housing prices go down, people will be homeless",p | q ,"housing prices go down: p; ""people will be homeless"": q"
John went to school or Mary went to school,p | q ,"John went to school: p; ""Mary went to school"": q"
it is not the case that both Italy loses to the US and Switzerland beats france,! ( p & q),"Italy loses to the US: p; ""Italy loses to Switzerland"": q"
Neither Portugal nor Spain will beat france,!( P | S),"Portugal will beat france: P; ""Spain will beat France"": S"
it is not the case that Italy will lose to the US and it is not the case that Switzerland beats france,!p & !q,"Italy will lose to the US: p; ""Switzerland beats france"": q"
Either it is not the case that Portugal will beat France or it is not the case that Spain will beat france,!p | !q,"Portugal will beat france: P; ""Spain will beat France"": S"
